date,cny_to_eur,eur_to_cny
2026-03-20,0.12552721430006025,7.9664
2026-03-23,0.12513138795735523,7.9916
2026-03-24,0.12536041118214866,7.977
2026-03-25,0.12503282111554284,7.9979
2026-03-26,0.12541229291295133,7.9737
